TIME;CH1;CH2;;;PROBE X;V/DIV;T/DIV;V_MIN;V_MAX;V_AVG;;;2026/03/11 22:23;;FNIRSI 1013D;
8,00E-5;2,00E-3;4,00E-3;;TRUE;1;5,00E-2;2,00E-3;-6,60E-2;3,40E-2;-3,71E-3;D:\10.wav;;;;;
1,20E-4;2,00E-3;4,00E-3;;TRUE;1;5,00E-2;2,00E-3;-6,20E-2;2,60E-2;-5,15E-3;;;;;;
1,60E-4;2,00E-3;4,00E-3;;;;;;;;;;;;;;
2,00E-4;2,00E-3;4,00E-3;;;;;;;;;;;;;;
2,40E-4;4,00E-3;8,00E-3;;;;;;;;;;;;;;
2,80E-4;4,00E-3;1,20E-2;;;;;;;;;;;;;;
3,20E-4;2,00E-3;8,00E-3;;;;;;;;;;;;;;
3,60E-4;4,00E-3;8,00E-3;;;;;;;;;;;;;;
4,00E-4;4,00E-3;8,00E-3;;;;;;;;;;;;;;
4,40E-4;2,00E-3;8,00E-3;;;;;;;;;;;;;;
4,80E-4;2,00E-3;2,00E-3;;;;;;;;;;;;;;
5,20E-4;4,00E-3;8,00E-3;;;;;;;;;;;;;;
5,60E-4;2,00E-3;4,00E-3;;;;;;;;;;;;;;
6,00E-4;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
6,40E-4;2,00E-3;2,00E-3;;;;;;;;;;;;;;
6,80E-4;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
7,20E-4;2,00E-3;4,00E-3;;;;;;;;;;;;;;
7,60E-4;4,00E-3;4,00E-3;;;;;;;;;;;;;;
8,00E-4;8,00E-3;4,00E-3;;;;;;;;;;;;;;
8,40E-4;4,00E-3;4,00E-3;;;;;;;;;;;;;;
8,80E-4;4,00E-3;4,00E-3;;;;;;;;;;;;;;
9,20E-4;8,00E-3;4,00E-3;;;;;;;;;;;;;;
9,60E-4;4,00E-3;2,00E-3;;;;;;;;;;;;;;
1,00E-3;4,00E-3;2,00E-3;;;;;;;;;;;;;;
1,04E-3;1,20E-2;4,00E-3;;;;;;;;;;;;;;
1,08E-3;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,12E-3;4,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,16E-3;4,00E-3;2,00E-3;;;;;;;;;;;;;;
1,20E-3;8,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,24E-3;4,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,28E-3;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,32E-3;4,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,36E-3;2,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,40E-3;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,44E-3;8,00E-3;4,00E-3;;;;;;;;;;;;;;
1,48E-3;4,00E-3;2,00E-3;;;;;;;;;;;;;;
1,52E-3;1,20E-2;1,20E-2;;;;;;;;;;;;;;
1,56E-3;8,00E-3;2,00E-3;;;;;;;;;;;;;;
1,60E-3;4,00E-3;2,00E-3;;;;;;;;;;;;;;
1,64E-3;4,00E-3;2,00E-3;;;;;;;;;;;;;;
1,68E-3;8,00E-3;4,00E-3;;;;;;;;;;;;;;
1,72E-3;8,00E-3;4,00E-3;;;;;;;;;;;;;;
1,76E-3;4,00E-3;4,00E-3;;;;;;;;;;;;;;
1,80E-3;8,00E-3;8,00E-3;;;;;;;;;;;;;;
1,84E-3;1,20E-2;1,20E-2;;;;;;;;;;;;;;
1,88E-3;2,60E-2;2,00E-2;;;;;;;;;;;;;;
1,92E-3;1,20E-2;1,20E-2;;;;;;;;;;;;;;
1,96E-3;1,20E-2;1,60E-2;;;;;;;;;;;;;;
2,00E-3;1,20E-2;1,20E-2;;;;;;;;;;;;;;
2,04E-3;1,60E-2;1,60E-2;;;;;;;;;;;;;;
2,08E-3;1,60E-2;1,60E-2;;;;;;;;;;;;;;
2,12E-3;1,60E-2;2,00E-2;;;;;;;;;;;;;;
2,16E-3;1,60E-2;2,00E-2;;;;;;;;;;;;;;
2,20E-3;1,60E-2;2,00E-2;;;;;;;;;;;;;;
2,24E-3;1,60E-2;2,00E-2;;;;;;;;;;;;;;
2,28E-3;1,60E-2;2,40E-2;;;;;;;;;;;;;;
2,32E-3;2,40E-2;2,60E-2;;;;;;;;;;;;;;
2,36E-3;1,60E-2;2,40E-2;;;;;;;;;;;;;;
2,40E-3;1,20E-2;1,60E-2;;;;;;;;;;;;;;
2,44E-3;1,60E-2;2,00E-2;;;;;;;;;;;;;;
2,48E-3;1,60E-2;2,00E-2;;;;;;;;;;;;;;
2,52E-3;1,60E-2;1,60E-2;;;;;;;;;;;;;;
2,56E-3;2,00E-2;2,00E-2;;;;;;;;;;;;;;
2,60E-3;1,60E-2;2,00E-2;;;;;;;;;;;;;;
2,64E-3;1,20E-2;1,60E-2;;;;;;;;;;;;;;
2,68E-3;1,20E-2;1,20E-2;;;;;;;;;;;;;;
2,72E-3;1,60E-2;1,60E-2;;;;;;;;;;;;;;
2,76E-3;8,00E-3;4,00E-3;;;;;;;;;;;;;;
2,80E-3;1,60E-2;1,20E-2;;;;;;;;;;;;;;
2,84E-3;1,20E-2;1,20E-2;;;;;;;;;;;;;;
2,88E-3;1,20E-2;8,00E-3;;;;;;;;;;;;;;
2,92E-3;8,00E-3;8,00E-3;;;;;;;;;;;;;;
2,96E-3;1,20E-2;8,00E-3;;;;;;;;;;;;;;
3,00E-3;1,20E-2;8,00E-3;;;;;;;;;;;;;;
3,04E-3;8,00E-3;4,00E-3;;;;;;;;;;;;;;
3,08E-3;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,12E-3;4,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,16E-3;4,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,20E-3;4,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,24E-3;4,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,28E-3;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,32E-3;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,36E-3;4,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,40E-3;2,00E-3;-6,00E-3;;;;;;;;;;;;;;
3,44E-3;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,48E-3;2,00E-3;2,00E-3;;;;;;;;;;;;;;
3,52E-3;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,56E-3;2,00E-3;-6,00E-3;;;;;;;;;;;;;;
3,60E-3;4,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,64E-3;4,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,68E-3;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
3,72E-3;4,00E-3;2,00E-3;;;;;;;;;;;;;;
3,76E-3;4,00E-3;4,00E-3;;;;;;;;;;;;;;
3,80E-3;2,00E-3;2,00E-3;;;;;;;;;;;;;;
3,84E-3;4,00E-3;2,00E-3;;;;;;;;;;;;;;
3,88E-3;4,00E-3;4,00E-3;;;;;;;;;;;;;;
3,92E-3;4,00E-3;4,00E-3;;;;;;;;;;;;;;
3,96E-3;4,00E-3;8,00E-3;;;;;;;;;;;;;;
4,00E-3;4,00E-3;8,00E-3;;;;;;;;;;;;;;
4,04E-3;4,00E-3;4,00E-3;;;;;;;;;;;;;;
4,08E-3;8,00E-3;8,00E-3;;;;;;;;;;;;;;
4,12E-3;4,00E-3;8,00E-3;;;;;;;;;;;;;;
4,16E-3;1,20E-2;1,20E-2;;;;;;;;;;;;;;
4,20E-3;8,00E-3;1,20E-2;;;;;;;;;;;;;;
4,24E-3;4,00E-3;8,00E-3;;;;;;;;;;;;;;
4,28E-3;2,00E-3;-6,00E-3;;;;;;;;;;;;;;
4,32E-3;4,00E-3;1,20E-2;;;;;;;;;;;;;;
4,36E-3;8,00E-3;1,20E-2;;;;;;;;;;;;;;
4,40E-3;1,20E-2;1,60E-2;;;;;;;;;;;;;;
4,44E-3;8,00E-3;8,00E-3;;;;;;;;;;;;;;
4,48E-3;4,00E-3;4,00E-3;;;;;;;;;;;;;;
4,52E-3;2,00E-2;1,60E-2;;;;;;;;;;;;;;
4,56E-3;4,00E-3;4,00E-3;;;;;;;;;;;;;;
4,60E-3;-6,00E-3;1,20E-2;;;;;;;;;;;;;;
4,64E-3;4,00E-3;4,00E-3;;;;;;;;;;;;;;
4,68E-3;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
4,72E-3;4,00E-3;4,00E-3;;;;;;;;;;;;;;
4,76E-3;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
4,80E-3;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
4,84E-3;2,00E-3;-2,00E-3;;;;;;;;;;;;;;
4,88E-3;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
4,92E-3;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
4,96E-3;4,00E-3;4,00E-3;;;;;;;;;;;;;;
5,00E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
5,04E-3;1,20E-2;-1,40E-2;;;;;;;;;;;;;;
5,08E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
5,12E-3;-2,80E-2;-2,80E-2;;;;;;;;;;;;;;
5,16E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
5,20E-3;-1,40E-2;-2,00E-2;;;;;;;;;;;;;;
5,24E-3;-6,00E-3;-1,80E-2;;;;;;;;;;;;;;
5,28E-3;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
5,32E-3;-6,00E-3;-1,80E-2;;;;;;;;;;;;;;
5,36E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
5,40E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
5,44E-3;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
5,48E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
5,52E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
5,56E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
5,60E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
5,64E-3;-2,80E-2;-2,80E-2;;;;;;;;;;;;;;
5,68E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
5,72E-3;-1,40E-2;-2,00E-2;;;;;;;;;;;;;;
5,76E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
5,80E-3;4,00E-3;8,00E-3;;;;;;;;;;;;;;
5,84E-3;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
5,88E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
5,92E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
5,96E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
6,00E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
6,04E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
6,08E-3;-6,00E-3;2,00E-3;;;;;;;;;;;;;;
6,12E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
6,16E-3;2,00E-3;2,00E-3;;;;;;;;;;;;;;
6,20E-3;2,00E-3;2,00E-3;;;;;;;;;;;;;;
6,24E-3;2,00E-3;4,00E-3;;;;;;;;;;;;;;
6,28E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
6,32E-3;-2,00E-3;4,00E-3;;;;;;;;;;;;;;
6,36E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
6,40E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
6,44E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
6,48E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
6,52E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
6,56E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
6,60E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
6,64E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
6,68E-3;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
6,72E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
6,76E-3;-2,00E-3;-1,00E-2;;;;;;;;;;;;;;
6,80E-3;-2,00E-3;-1,00E-2;;;;;;;;;;;;;;
6,84E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
6,88E-3;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
6,92E-3;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
6,96E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,00E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
7,04E-3;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
7,08E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
7,12E-3;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
7,16E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
7,20E-3;-1,00E-2;-2,00E-2;;;;;;;;;;;;;;
7,24E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
7,28E-3;-1,40E-2;-2,00E-2;;;;;;;;;;;;;;
7,32E-3;-1,40E-2;-2,00E-2;;;;;;;;;;;;;;
7,36E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
7,40E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,44E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,48E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,52E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,56E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,60E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
7,64E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
7,68E-3;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
7,72E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
7,76E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
7,80E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
7,84E-3;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
7,88E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
7,92E-3;-1,00E-2;-6,00E-3;;;;;;;;;;;;;;
7,96E-3;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,00E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
8,04E-3;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,08E-3;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,12E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,16E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,20E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,24E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,28E-3;-2,00E-3;4,00E-3;;;;;;;;;;;;;;
8,32E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,36E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,40E-3;2,00E-3;4,00E-3;;;;;;;;;;;;;;
8,44E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,48E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,52E-3;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
8,56E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,60E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,64E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,68E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
8,72E-3;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
8,76E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
8,80E-3;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
8,84E-3;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
8,88E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
8,92E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
8,96E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,00E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,04E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
9,08E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,12E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
9,16E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,20E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
9,24E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
9,28E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
9,32E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
9,36E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
9,40E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
9,44E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,48E-3;-1,40E-2;-1,80E-2;;;;;;;;;;;;;;
9,52E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,56E-3;-6,00E-3;-1,40E-2;;;;;;;;;;;;;;
9,60E-3;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
9,64E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,68E-3;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
9,72E-3;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
9,76E-3;-1,00E-2;-1,00E-2;;;;;;;;;;;;;;
9,80E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
9,84E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
9,88E-3;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
9,92E-3;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
9,96E-3;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,00E-2;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,00E-2;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,01E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,01E-2;-6,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,02E-2;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,02E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,02E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,03E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,03E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,04E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,04E-2;-2,00E-3;4,00E-3;;;;;;;;;;;;;;
1,04E-2;2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,05E-2;2,00E-3;4,00E-3;;;;;;;;;;;;;;
1,05E-2;-2,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,06E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,06E-2;-2,00E-3;2,00E-3;;;;;;;;;;;;;;
1,06E-2;-6,00E-3;-2,00E-3;;;;;;;;;;;;;;
1,07E-2;-6,00E-3;-1,00E-2;;;;;;;;;;;;;;
1,07E-2;-2,00E-3;-6,00E-3;;;;;;;;;;;;;;
1,08E-2;-1,00E-2;-1,40E-2;;;;;;;;;;;;;;
1,08E-2;-1,40E-2;-1,40E-2;;;;;;;;;;;;;;
1,08E-2;-1,80E-2;-1,80E-2;;;;;;;;;;;;;;
1,09E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,09E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,10E-2;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,10E-2;-1,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,10E-2;-1,40E-2;-2,40E-2;;;;;;;;;;;;;;
1,11E-2;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
1,11E-2;-1,00E-2;-1,80E-2;;;;;;;;;;;;;;
1,12E-2;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
1,12E-2;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
1,12E-2;-2,00E-2;-2,80E-2;;;;;;;;;;;;;;
1,13E-2;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
1,13E-2;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
1,14E-2;-2,00E-2;-3,20E-2;;;;;;;;;;;;;;
1,14E-2;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
1,14E-2;-2,80E-2;-3,20E-2;;;;;;;;;;;;;;
1,15E-2;-2,40E-2;-3,20E-2;;;;;;;;;;;;;;
1,15E-2;-2,80E-2;-3,20E-2;;;;;;;;;;;;;;
1,16E-2;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
1,16E-2;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
1,16E-2;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
1,17E-2;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
1,17E-2;-2,40E-2;-2,80E-2;;;;;;;;;;;;;;
1,18E-2;-2,80E-2;-2,40E-2;;;;;;;;;;;;;;
1,18E-2;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
1,18E-2;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
1,19E-2;-1,80E-2;-2,00E-2;;;;;;;;;;;;;;
1,19E-2;-2,00E-2;-2,00E-2;;;;;;;;;;;;;;
